text,true_entities,openai_response,anthropic_response,gemini_response,openai_latency,anthropic_latency,gemini_latency,openai_f1,anthropic_f1,gemini_f1
"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .","{'PER': ['CHINA'], 'ORG': [], 'LOC': ['JAPAN']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""China""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""]
}
```",1.7296440601348877,1.1156878471374512,1.254277229309082,1.0,1.0,1.0
Nadim Ladki,"{'PER': ['Nadim Ladki'], 'ORG': [], 'LOC': []}","{""PER"": [""Nadim Ladki""], ""ORG"": [], ""LOC"": []}","```json
{
  ""PER"": [""Nadim Ladki""],
  ""ORG"": [],
  ""LOC"": []
}
```","```json
{""PER"": [""Nadim Ladki""], ""ORG"": [], ""LOC"": []}
```",1.5321857929229736,0.8817048072814941,0.768151044845581,1.0,1.0,1.0
"AL-AIN , United Arab Emirates 1996-12-06","{'PER': [], 'ORG': [], 'LOC': ['AL-AIN', 'United Arab Emirates']}","{""PER"": [], ""ORG"": [], ""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""]
}
```",0.8858828544616699,1.319220781326294,0.7180240154266357,1.0,1.0,1.0
Japan began the defence of their Asian Cup title with a lucky 2-1 win against Sy,"{'PER': [], 'ORG': [], 'LOC': ['Japan', 'Syria']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria"", ""Asia""]
}
```",0.9392130374908447,0.832740068435669,0.8332948684692383,1.0,1.0,0.8
"But China saw their luck desert them in the second match of the group , crashing","{'PER': [], 'ORG': [], 'LOC': ['China', 'Uzbekistan']}","{""PER"": [], ""ORG"": [], ""LOC"": [""China"", ""Uzbekistan""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""]
}
```",1.2023460865020752,0.848787784576416,0.8047561645507812,1.0,1.0,1.0
China controlled most of the match and saw several chances missed until the 78th,"{'PER': ['Igor Shkvyrin'], 'ORG': [], 'LOC': ['China']}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""]}","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""]
}
```","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""]
}
```",1.2906138896942139,0.9117629528045654,0.6584458351135254,1.0,0.8,0.8
"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left","{'PER': ['Oleg Shatskiku'], 'ORG': [], 'LOC': []}","```json
{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": []}
```","```json
{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": []}
```","```json
{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": []
}
```",1.2636997699737549,0.790611982345581,0.9704430103302002,1.0,1.0,1.0
The former Soviet republic was playing in an Asian Cup finals tie for the first ,"{'PER': [], 'ORG': [], 'LOC': []}","{""PER"": [], ""ORG"": [], ""LOC"": [""Soviet"", ""Asia""]}","```json
{""PER"": [], ""ORG"": [""Asian Cup""], ""LOC"": [""Soviet""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Soviet republic"", ""Asian Cup""]
}
```",0.9661152362823486,0.9796359539031982,0.6864228248596191,0.0,0.0,0.0
"Despite winning the Asian Games title two years ago , Uzbekistan are in the fina","{'PER': [], 'ORG': [], 'LOC': ['Uzbekistan']}","{""PER"": [], ""ORG"": [""Uzbekistan""], ""LOC"": [""Asian Games""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan"", ""Asian Games""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan"", ""Asian Games""]
}
```",0.9175376892089844,0.8265459537506104,0.48342204093933105,0.6666666666666666,0.6666666666666666,0.6666666666666666
Two goals from defensive errors in the last six minutes allowed Japan to come fr,"{'PER': [], 'ORG': [], 'LOC': ['Japan', 'Syria']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""]
}
```",0.7719480991363525,0.849027156829834,1.0457658767700195,1.0,1.0,1.0
