text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_correct,anthropic_correct,gemini_correct,openai_latency_s,anthropic_latency_s,gemini_latency_s
"According to Gran , the company has no plans to move all production to Russia , ",neutral,neutral,neutral,neutral,1,1,1,0.97,0.986,0.679
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from E",positive,positive,positive,positive,1,1,1,0.548,0.886,0.456
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , an",positive,positive,positive,positive,1,1,1,0.536,0.621,0.378
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period,positive,positive,positive,positive,1,1,1,0.956,0.742,0.413
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representi",positive,positive,positive,positive,1,1,1,0.73,0.74,0.616
Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 f,positive,positive,positive,positive,1,1,1,0.569,0.695,0.376
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and ",positive,positive,positive,positive,1,1,1,0.514,0.637,0.426
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating prof",positive,positive,positive,positive,1,1,1,0.58,1.212,0.399
Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR ,positive,positive,positive,positive,1,1,1,0.542,0.585,0.367
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans ",positive,positive,positive,positive,1,1,1,0.638,0.596,0.388
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , ",positive,positive,positive,positive,1,1,1,0.508,1.008,0.462
MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of ,positive,positive,positive,positive,1,1,1,0.623,0.829,0.507
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net i",positive,positive,positive,positive,1,1,1,0.665,0.574,0.404
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34,positive,positive,positive,positive,1,1,1,0.624,0.595,0.563
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.",positive,positive,positive,positive,1,1,1,0.612,0.709,0.671
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to,positive,positive,positive,positive,1,1,1,0.555,0.692,0.393
"Operating profit for the nine-month period increased from EUR13 .6 m , while net",positive,positive,positive,positive,1,1,1,0.582,0.675,0.442
"Operating profit for the three-month period increased from EUR1 .2 m , while rev",positive,positive,positive,positive,1,1,1,0.543,0.653,0.391
The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 ,positive,positive,positive,positive,1,1,1,0.603,0.578,0.471
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0",positive,positive,neutral,positive,1,0,1,0.511,0.587,0.388
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volu",positive,positive,positive,positive,1,1,1,0.663,0.585,0.386
The fair value of the property portfolio doubled as a result of the Kapiteeli ac,positive,positive,positive,positive,1,1,1,0.652,0.623,0.43
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday i,positive,positive,positive,positive,1,1,1,0.515,0.597,0.626
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EP",positive,positive,positive,positive,1,1,1,0.582,0.699,0.344
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 1",positive,positive,positive,positive,1,1,1,0.533,0.63,0.418
"In January , traffic , measured in revenue passenger kilometres RPK , went up by",positive,neutral,neutral,neutral,0,0,0,0.754,0.598,0.35
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to",positive,positive,positive,positive,1,1,1,0.585,0.652,0.617
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net in",positive,positive,positive,positive,1,1,1,0.632,0.77,0.53
Sales have risen in other export markets .,positive,positive,positive,positive,1,1,1,0.53,0.67,0.374
Sales increased due to growing market rates and increased operations .,positive,positive,positive,positive,1,1,1,0.558,0.971,0.716
The agreement strengthens our long-term partnership with Nokia Siemens Networks ,positive,positive,positive,positive,1,1,1,0.468,0.636,0.403
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007",positive,positive,positive,positive,1,1,1,0.707,0.766,0.828
"The company said that paper demand increased in all of its main markets , includ",positive,positive,positive,positive,1,1,1,0.611,1.038,0.458
The world 's second largest stainless steel maker said net profit in the three-m,positive,positive,positive,positive,1,1,1,0.539,0.647,0.359
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal B",positive,positive,positive,positive,1,1,1,0.599,0.7,0.345
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-qu,positive,positive,positive,positive,1,1,1,0.553,0.623,0.402
"In its financial report , published on Friday , SEB said its net profit soared t",positive,positive,positive,positive,1,1,1,0.666,0.702,0.407
"At the request of Finnish media company Alma Media 's newspapers , research mana",neutral,neutral,neutral,neutral,1,1,1,0.566,1.942,0.511
STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WIT,neutral,neutral,neutral,neutral,1,1,1,0.643,0.573,0.351
"A maximum of 666,104 new shares can further be subscribed for by exercising B op",neutral,neutral,neutral,neutral,1,1,1,0.665,0.887,0.492
