text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .","{'PER': ['CHINA'], 'LOC': ['JAPAN']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""China""], ""MISC"": [""SOCCER""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""],
  ""MISC"": [""SOCCER""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""],
  ""MISC"": []
}
```",1,1,1,0.8,0.8,1.0,2.26,1.127,1.072
Nadim Ladki,{'PER': ['Nadim Ladki']},"{""PER"": [""Nadim Ladki""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [""Nadim Ladki""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Nadim Ladki""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.759,1.025,0.613
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.639,0.998,0.535
Japan began the defence of their Asian Cup title with a lucky 2-1 win against Sy,"{'LOC': ['Japan', 'Syria'], 'MISC': ['Asian Cup']}","```json
{
    ""LOC"": [""Japan"", ""Syria""],
    ""MISC"": [""Asian Cup"", ""Group C""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Asian Cup"", ""Group C""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria"", ""Asia""],
  ""MISC"": [""Asian Cup"", ""Group C""]
}
```",1,1,1,0.8571,0.8571,0.75,1.824,0.921,1.021
"But China saw their luck desert them in the second match of the group , crashing","{'LOC': ['China', 'Uzbekistan']}","```json
{
    ""LOC"": [""China"", ""Uzbekistan""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.024,1.233,0.713
China controlled most of the match and saw several chances missed until the 78th,"{'PER': ['Igor Shkvyrin'], 'LOC': ['China'], 'MISC': ['Uzbek', 'Chinese']}","{""PER"": [""Igor Shkvyrin""], ""ORG"": [], ""LOC"": [""China""], ""MISC"": []}","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""],
  ""MISC"": []
}
```",1,1,1,0.6667,0.8571,0.8571,0.82,1.024,0.92
"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left",{'PER': ['Oleg Shatskiku']},"```json
{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.025,1.065,0.82
The former Soviet republic was playing in an Asian Cup finals tie for the first ,"{'MISC': ['Soviet', 'Asian Cup']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Soviet""], ""MISC"": [""Asian Cup""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Soviet"", ""Asian""],
  ""MISC"": [""Asian Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""Soviet republic"",
    ""Asian Cup""
  ]
}
```",1,1,1,1.0,0.8,0.5,1.049,1.342,0.573
"Despite winning the Asian Games title two years ago , Uzbekistan are in the fina","{'LOC': ['Uzbekistan'], 'MISC': ['Asian Games']}","{""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan"", ""Asian""],
  ""MISC"": [""Asian Games""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Games"", ""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,0.8,1.0,1.805,1.035,0.956
Two goals from defensive errors in the last six minutes allowed Japan to come fr,"{'LOC': ['Japan', 'Syria']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.952,1.183,0.973
"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige ","{'PER': ['Takuya Takagi', 'Hiroshige Yanagimoto', 'Salem Bitar'], 'MISC': ['Syrian']}","```json
{
    ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
    ""ORG"": [],
    ""LOC"": [""Syria""],
    ""MISC"": []
}
```","```json
{
  ""PER"": [""Takuya Takagi"", ""Hiroshige Yanagimoto"", ""Salem Bitar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Takuya Takagi"",
    ""Hiroshige Yanagimoto"",
    ""Salem Bitar""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Syrian""
  ],
  ""MISC"": []
}
```",1,1,1,0.75,0.75,1.0,0.737,1.616,1.093
It was the second costly blunder by Syria in four minutes .,{'LOC': ['Syria']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.691,0.898,0.561
