text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_correct,anthropic_correct,gemini_correct,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_prompt_tokens,openai_completion_tokens,anthropic_prompt_tokens,anthropic_completion_tokens,gemini_prompt_tokens,gemini_completion_tokens
Fears for T N pension after talks Unions representing workers at Turner   Newall,Business,Business,Business,Business,1,1,1,1.338,1.352,1.106,89,1,91,4,77,1
The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPAC,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.829,0.859,1.627,125,3,131,7,117,3
Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemis,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.708,1.24,3.352,106,3,110,7,97,3
Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fi,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.644,0.918,0.827,115,3,125,7,107,3
Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-figh,Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,1.107,0.791,0.685,102,3,107,4,94,3
Open Letter Against British Copyright Indoctrination in Schools The British Depa,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.32,0.868,1.518,108,3,115,7,99,3
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsk",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.211,0.857,0.698,126,3,143,7,123,3
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom f",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.618,0.912,0.625,125,3,138,7,117,3
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after i",Sci/Tech,World,Sci/Tech,Sci/Tech,0,1,1,0.916,0.843,0.6,77,1,80,7,68,3
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated car",Sci/Tech,Business,Business,Business,0,0,0,0.818,0.925,0.584,97,1,100,4,99,1
Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.368,0.929,0.528,129,3,147,7,124,3
"Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Co",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.845,1.195,0.632,116,3,123,7,108,3
Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free ,Sci/Tech,Business,Business,Business,0,0,0,0.704,0.96,3.389,111,1,112,4,104,1
Super ant colony hits Australia A giant 100km colony of ants  which has been dis,Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,0.843,0.892,1.563,83,3,85,4,76,3
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to",Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,0.935,1.825,1.008,79,3,84,4,70,3
