article_snippet,reference_summary,openai_summary,anthropic_summary,openai_latency,anthropic_latency,openai_rouge1,openai_rouge2,openai_rougeL,anthropic_rouge1,anthropic_rouge2,anthropic_rougeL
(CNN)The Palestinian Authority officially became the 123rd member of the Interna,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","The Palestinian Authority has officially become the 123rd member of the International Criminal Court (ICC), granting the court jurisdiction over alleged crimes in Palestinian territories. This move, marked by a ceremony in The Hague, has been met with opposition from Israel and the United States, both of which do not recognize Palestine as a state. Palestinian officials view membership in the ICC as a step towards justice, while rights groups have called for an end to pressure against Palestine's accession.","The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday, giving the court jurisdiction over alleged crimes in Palestinian territories since June 2014. This development opens the door for possible war crimes investigations against Israelis, though Palestinians may also face counter-charges. Israel and the United States, both non-ICC members, opposed the move, but human rights groups and Palestinian officials view it as a step toward ending impunity and achieving justice.",1.7352120876312256,1.530987024307251,0.36521739130434777,0.17699115044247787,0.3130434782608696,0.5045045045045046,0.3486238532110092,0.34234234234234234
(CNN)Never mind cats having nine lives. A stray pooch in Washington State has us,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A stray dog named Theia in Washington State survived a series of near-fatal incidents, including being struck by a car and allegedly hit with a hammer, before being buried alive. Four days later, she managed to escape her grave and was rescued by a farm worker, leading to her current care at Washington State University's veterinary hospital. Theia, now receiving treatment for her injuries, has garnered significant public support, with fundraising efforts exceeding their initial goal to cover her medical needs and help other animals in similar situations.","A stray dog in Washington State named Theia survived being hit by a car, struck on the head with a hammer, and buried in a field, only to stumble onto a nearby farm four days later. Despite suffering a dislocated jaw, leg injuries, and a caved-in sinus cavity, the one-year-old bully breed mix is receiving care at Washington State University's Veterinary Teaching Hospital, with fundraising efforts helping to cover her extensive medical treatment needs. Her story of survival has inspired donors to exceed a $10,000 fundraising goal, with her caretaker committed to ensuring Theia receives proper care and finds a loving permanent home.",1.8827311992645264,2.1070051193237305,0.3157894736842105,0.061068702290076333,0.19548872180451127,0.34437086092715236,0.1610738255033557,0.25165562913907286
"(CNN)If you've been following the news lately, there are certain things you doub","Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .","Mohammad Javad Zarif, the Iranian foreign minister, has received acclaim for his role in nuclear negotiations with the U.S., leading to significant public support in Iran. While he is often described as polished and jovial, he has a complex background, including a controversial tweet about Holocaust denial and discrepancies in his official biography regarding his birth year. Zarif's education and early life in the U.S., along with his family ties, add further layers to his diplomatic persona.","Mohammad Javad Zarif, Iran's foreign minister, has become a prominent figure in nuclear negotiations with the U.S. and is known for being unusually jovial and polished for someone handling such weighty issues. However, less well-known facts about him include his education in the United States, inconsistencies in his official birth date, and a federal investigation into his alleged role with a charitable organization. His diplomatic efforts have helped bring Iran back into the international community, though he also faced criticism over Iran's stance on Holocaust denial before the previous Iranian administration.",1.7423632144927979,2.2878358364105225,0.2782608695652174,0.08849557522123895,0.17391304347826086,0.23076923076923078,0.04687499999999999,0.15384615384615385
"(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, ho","17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","Five Americans exposed to Ebola in Sierra Leone have been released from a Nebraska hospital after three weeks of monitoring, with none developing the virus. They were clinicians for Partners in Health and had contact with a colleague now undergoing treatment in Maryland. The Centers for Disease Control and Prevention expects the final monitored patient to be released soon.","Five Americans who were exposed to Ebola in Sierra Leone have been released after three weeks of monitoring at a Nebraska hospital, with none developing the virus. The group consisted of clinicians for an aid organization who had contact with a colleague diagnosed with Ebola, who remains hospitalized in Maryland in fair condition. The releases are part of a broader CDC effort to discharge 17 monitored patients by Thursday as the West African Ebola epidemic continues to claim lives.",1.3126180171966553,1.5304498672485352,0.5148514851485149,0.10101010101010101,0.2772277227722772,0.4462809917355372,0.1680672268907563,0.2809917355371901
(CNN)A Duke student has admitted to hanging a noose made of rope from a tree nea,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","A Duke University student has confessed to hanging a noose from a tree near a student union, prompting the university to remove the student from campus and initiate a conduct review. The incident sparked a strong campus response, with students and faculty holding a march against hate and racism, while ongoing investigations are examining potential involvement of others. Duke officials condemned the act as cowardly and part of a troubling trend of racism on college campuses.","A Duke University student admitted to hanging a noose from a tree near a student union, prompting the student to be removed from campus and face disciplinary review. The incident sparked a large gathering of students and faculty who marched in solidarity, with Duke's president condemning it as unacceptable. This is one of several recent racist incidents to occur on college campuses, including similar incidents at the University of Oklahoma and University of Mississippi.",2.60681414604187,1.5699689388275146,0.3559322033898305,0.05172413793103449,0.1864406779661017,0.37606837606837606,0.10434782608695652,0.20512820512820512
(CNN)He's a blue chip college basketball recruit. She's a high school freshman w,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a star basketball recruit from Eastern High School in Louisville, made headlines when he asked freshman Ellie Meredith, who has Down syndrome, to be his prom date instead of his girlfriend. His thoughtful prom-posal included flowers and a poster referencing Ellie's favorite singer, Taylor Swift, and has gone viral, showcasing Trey's kindness and commitment to inclusivity. Both students are excited about the upcoming prom, with Trey's actions fostering a supportive environment for Ellie and raising awareness for friendship initiatives at their school.","Star basketball recruit Trey Moses asked high school freshman Ellie Meredith, who has Down syndrome, to prom at Eastern High School in Louisville, Kentucky, surprising her with flowers and a Taylor Swift reference poster. Ellie, who had struggled with friendships, said yes, and the prom-posal went viral on social media, with her mother noting how meaningful the gesture was for her daughter. Trey, who is considering a special education major in college, was praised by teachers and his future coach for his character and kindness.",8.693822145462036,2.047795295715332,0.28571428571428575,0.0909090909090909,0.19642857142857145,0.2909090909090909,0.0925925925925926,0.2
(CNN)Governments around the world are using the threat of terrorism -- real or p,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International's annual report on the death penalty highlights a troubling trend of governments using executions to address perceived terrorism threats, with Secretary General Salil Shetty condemning this practice as a dangerous misapplication of justice. While the global number of executions decreased by 22% in 2014, there was a significant increase in death sentences, with 2,466 people sentenced, largely driven by mass-sentencing in countries like Egypt and Nigeria. Despite these negatives, the report notes positive developments in several regions that have seen a reduction in executions, suggesting a potential global shift towards abolition.","Amnesty International's 2014 death penalty report finds that governments are increasingly using terrorism as a justification for executions, with examples including Pakistan lifting its moratorium on civilian executions following a school attack and China using capital punishment in its campaign against terrorism in Xinjiang. While the number of executions worldwide dropped by 22% in 2014 to 607 cases, death sentences increased 28% to at least 2,466, largely due to mass sentencing in countries like Egypt and Nigeria. Overall, the long-term trend shows movement toward abolition, though concerns remain about governments exploiting security threats to carry out executions.",2.865591049194336,2.0184507369995117,0.38666666666666666,0.06756756756756757,0.25333333333333335,0.36363636363636365,0.10526315789473685,0.2727272727272727
"(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have di","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, heir to a vast oil fortune and grandson of oil tycoon J. Paul Getty, has died at the age of 47, with preliminary assessments indicating natural causes and no foul play. The Los Angeles coroner is set to conduct an autopsy, and medications were found at his home, although it remains unclear if they were being used by him. Getty had previously faced health issues and had filed for a restraining order against an ex-girlfriend, citing serious medical concerns.","Andrew Getty, a 47-year-old heir to the Getty oil fortune, died of apparent natural causes with no signs of foul play, according to Los Angeles police. Getty, the grandson of oil tycoon J. Paul Getty, had several health issues and medication was found in his home, though investigators are still determining details about his medical history. An autopsy will be conducted to confirm the cause of death.",2.071702003479004,1.5346109867095947,0.33333333333333337,0.11290322580645161,0.19047619047619044,0.23008849557522124,0.05405405405405406,0.1592920353982301
(CNN)Filipinos are being warned to be on guard for flash floods and landslides a,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Filipinos are being urged to prepare for potential flash floods and landslides as tropical storm Maysak, now known locally as Chedeng, approaches the Philippines with sustained winds over 70 mph. Despite losing strength from its previous super typhoon status, authorities are taking precautions by halting outdoor activities and advising tourists to avoid coastal areas, as the storm is expected to make landfall in Isabela province on Sunday. Residents are warned to treat the storm seriously, as its impact remains uncertain.",Tropical Storm Maysak (called Chedeng locally) is approaching the Philippines with sustained winds over 70 mph after weakening from super typhoon status. Authorities have implemented precautionary measures including evacuations and restrictions on outdoor activities and tourist arrivals in coastal areas ahead of the expected Sunday morning landfall. The storm is forecast to cross the southeastern coast of Isabela province and exit the Philippines by Monday.,1.5330040454864502,1.4392492771148682,0.32075471698113206,0.07692307692307693,0.15094339622641512,0.3076923076923077,0.0898876404494382,0.1978021978021978
"(CNN)For the first time in eight years, a TV legend returned to doing what he do","Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker made a surprise return to ""The Price Is Right"" on April 1, 2023, for the first time in eight years, stepping in as host at the age of 91. He successfully led the classic ""Lucky Seven"" game before handing over hosting duties to Drew Carey, maintaining his signature charm and energy despite his long absence from the show.","Bob Barker, the legendary host of ""The Price Is Right,"" made a surprise return to the show for the first time in eight years on April 1, hosting the opening segment at age 91. Barker, who originally hosted the game show for 35 years before retiring in 2007, appeared spry and seamlessly hosted the ""Lucky Seven"" game before handing duties back to current host Drew Carey. The brief appearance demonstrated that Barker had lost none of his hosting abilities despite his eight-year absence from the show.",3.389512062072754,1.8564198017120361,0.35443037974683544,0.18181818181818185,0.27848101265822783,0.3207547169811321,0.13461538461538464,0.22641509433962262
