article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rougeL,anthropic_rougeL,gemini_rougeL
(CNN)The Palestinian Authority officially became the 123rd member of the Interna,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","The Palestinian Authority has become the 123rd member of the International Criminal Court (ICC), granting the court jurisdiction over alleged crimes in Palestinian territories since June 2014. This move, marked by a ceremony at The Hague, has been opposed by Israel and the United States, who do not recognize Palestine as a state and argue that the ICC's involvement could hinder peace efforts. However, Palestinian officials and human rights groups view the accession as a step towards justice and accountability for alleged war crimes.","# Summary

The Palestinian Authority became the 123rd member of the International Criminal Court on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories since June 2014. The move, opposed by Israel and the United States, opens the way for possible war crimes investigations and represents what Palestinian officials see as a step toward ending impunity, though it also subjects Palestinians to potential counter-charges. Human Rights Watch supported the decision, arguing that joining the ICC treaty aligns Palestine with over 100 other countries committed to international justice.","The Palestinian Authority officially became the 123rd member of the International Criminal Court (ICC) on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories. This move, opposed by Israel and the United States, allows for potential war crimes investigations against Israelis, though Palestinians may also face counter-charges. Palestinian Foreign Minister Riad al-Malki hailed it as a step towards justice, while the ICC emphasized the responsibilities that come with membership.",3.111,1.666,0.886,0.3529,0.3252,0.3551
(CNN)Never mind cats having nine lives. A stray pooch in Washington State has us,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A stray dog named Theia in Washington State survived being hit by a car, a failed mercy killing, and being buried alive, later staggering to a nearby farm for help. Despite severe injuries, including a dislocated jaw and sinus damage, Theia is receiving care and has inspired a successful fundraising campaign to cover her medical expenses. Her story of resilience has captured the hearts of many, with additional funds raised intended to help other animals in need.","# Summary

A stray dog named Theia in Washington State survived being hit by a car, struck on the head with a hammer, and buried in a field, only to be discovered four days later and brought to a veterinary hospital for treatment. Despite suffering a dislocated jaw, leg injuries, and a collapsed sinus cavity, the one-year-old bully breed mix has become a symbol of survival, inspiring donors to exceed a $10,000 fundraising goal for her medical care. Her rescuer, Sara Mellado, is committed to ensuring Theia receives the necessary surgeries and finds a permanent, loving home.","A stray dog in Washington State, named Theia, miraculously survived after being hit by a car, apparently struck with a hammer in a misguided mercy killing, and then buried. Four days later, she staggered to a farm, leading to her rescue and care at Washington State University's Veterinary Teaching Hospital. Despite severe injuries, including a dislocated jaw and caved-in sinus, Theia is recovering, with a fundraising effort surpassing its goal to cover her extensive medical treatments.",2.255,1.837,1.431,0.2167,0.2958,0.2645
"(CNN)If you've been following the news lately, there are certain things you doub","Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .","Iranian Foreign Minister Mohammad Javad Zarif has played a pivotal role in nuclear discussions with the U.S., working alongside Secretary of State John Kerry to potentially lift sanctions against Iran. Known for his diplomatic skills and jovial demeanor, Zarif has helped improve Iran's international relations, although his past, including his education in the U.S. and involvement with the Alavi Foundation, adds complexity to his profile. Despite discrepancies about his birth year, Zarif remains a significant figure in Iranian diplomacy, receiving a hero's welcome upon his return to Iran.","Iranian Foreign Minister Mohammad Javad Zarif has become a central figure in nuclear negotiations with the U.S. and is known for his polished, jovial demeanor, but lesser-known facts about him include his education in the United States, ambiguous birth date listed differently on official Iranian websites, and a federal investigation into his alleged role with the Alavi Foundation. Despite being absent from Iran during the 1979 revolution and having both children born in America, Zarif has successfully helped bring Iran back into international negotiations under President Hassan Rouhani's administration.","Mohammad Javad Zarif, Iran's foreign minister, is a key figure in nuclear discussions with the U.S. and received a hero's welcome upon returning to Iran. Less known facts about Zarif include his ""Happy Rosh Hashanah"" tweet and subsequent denial of Iran's Holocaust denial, his absence from Iran during the 1979 revolution while studying in the U.S., and the conflicting birth dates listed on his own ministry's website. He was also investigated by U.S. authorities regarding his alleged role in controlling the Alavi Foundation.",2.502,2.103,1.094,0.1732,0.1575,0.192
"(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, ho","17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","Five Americans exposed to Ebola in Sierra Leone have been released from monitoring at a Nebraska hospital after none developed the virus. They were clinicians for Partners in Health and had contact with a colleague diagnosed with Ebola, who is currently in fair condition at the National Institutes of Health. The CDC expects the last of 17 monitored patients to be released soon, as the West African Ebola epidemic has resulted in over 10,000 deaths primarily in Guinea, Liberia, and Sierra Leone.","Five Americans who were exposed to Ebola in Sierra Leone have been released from a Nebraska hospital after a three-week monitoring period, with none developing the virus. The group worked for Partners in Health and had contact with a colleague who tested positive and is being treated at the National Institutes of Health in fair condition. The CDC expects to release the final patients being monitored by Thursday, as the West African Ebola epidemic continues with over 10,000 deaths since December 2013.","Five Americans exposed to Ebola in Sierra Leone have been released from a Nebraska hospital after a three-week monitoring period, none developing the virus. One individual had a heart issue but has also been discharged, while the others have returned home. These clinicians from Partners in Health were exposed to a colleague currently being treated for Ebola at the National Institutes of Health.",1.872,1.635,0.842,0.288,0.2857,0.2453
(CNN)A Duke student has admitted to hanging a noose made of rope from a tree nea,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","A Duke University student admitted to hanging a noose from a tree near a student union, prompting a student conduct review and ongoing criminal investigations. The incident sparked protests and a forum at Duke Chapel, where university officials and students condemned the act as part of a broader pattern of racist incidents on college campuses. Duke President Richard Brodhead and Vice President for Student Affairs Larry Moneta emphasized the university's commitment to rejecting such acts of hate and fostering a supportive community.","A Duke University student admitted to hanging a noose from a tree near campus and has been removed from the university pending a student conduct review, with criminal investigations ongoing. The incident sparked a campus-wide march and forum where hundreds of students and faculty members gathered to condemn the racist act, with President Richard Brodhead stating it does not represent the Duke they want to create. This is one of several recent hate incidents at universities, including similar incidents at the University of Oklahoma and University of Mississippi.","A Duke University student has admitted to hanging a noose from a tree on campus and is no longer on campus, facing student conduct review. The incident, which is also under criminal investigation, sparked protests and a forum where university officials condemned the act. This event is one of several recent racist incidents at colleges across the United States.",2.127,2.763,0.818,0.192,0.1832,0.2376
(CNN)He's a blue chip college basketball recruit. She's a high school freshman w,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a star basketball player from Eastern High School in Louisville, Kentucky, asked Ellie Meredith, a high school freshman with Down syndrome, to be his prom date, highlighting his compassionate nature. The prom-posal, which took place during Ellie's P.E. class, went viral after being shared on social media, and was supported by Ellie's parents and Trey's future college coach. This gesture not only brought joy to Ellie, who has faced challenges with friendships, but also raised awareness for the Best Buddies program that fosters friendships between students with and without developmental disabilities.","# Summary

College basketball recruit Trey Moses asked high school freshman Ellie Meredith, who has Down syndrome, to prom at Eastern High School in Louisville, Kentucky, surprising her with flowers and a Taylor Swift reference poster during her P.E. class. The prom-posal went viral on social media, and Ellie's parents praised the gesture, noting that the school's Best Buddies program has helped their daughter build friendships and feel included. Trey, who plans to major in special education while playing college basketball at Ball State, earned praise from his future coach and mother for his character and kindness.","High school basketball star Trey Moses asked freshman Ellie Meredith, who has Down syndrome, to be his prom date, creating a viral moment. Trey, known for his kindness and involvement with special needs students, surprised Ellie with flowers and a poster during her P.E. class. This heartwarming gesture has brought joy to Ellie and her family, highlighting the positive impact of inclusive programs like Best Buddies.",1.94,1.846,0.919,0.1803,0.2097,0.1978
(CNN)Governments around the world are using the threat of terrorism -- real or p,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International's annual report on the death penalty highlights a troubling trend of governments using executions to address perceived threats to state security, particularly under the guise of combating terrorism. Despite a global decrease in executions by 22% from the previous year, the report notes a significant increase in death sentences, with at least 2,466 people sentenced in 2014, largely due to mass sentencing in countries like Egypt and Nigeria. While some regions show positive trends towards abolition, the report underscores the ongoing misuse of the death penalty as a tool for political control.","# Summary

Amnesty International's 2014 report on capital punishment reveals that while global executions decreased by 22% to 607 cases, governments are increasingly using the death penalty under the guise of fighting terrorism, particularly in countries like Pakistan and China. However, the report also notes a concerning 28% surge in death sentences handed down globally, largely due to mass sentencings in Egypt and Nigeria, though most regions still show encouraging long-term trends toward abolition.","Amnesty International's annual report alleges that governments worldwide are increasingly using the threat of terrorism to justify executions, citing examples like Pakistan and China. While the number of global executions decreased by 22% in 2014 (excluding China), there was a 28% increase in death sentences, largely due to mass sentencing in countries like Egypt and Nigeria. Despite these concerns, Amnesty notes a positive long-term trend towards abolition, with most regions showing a reduction in executions.",1.717,1.865,1.42,0.2267,0.2016,0.3359
"(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have di","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, heir to the Getty oil fortune, was found dead at his Los Angeles home, with preliminary assessments indicating natural causes and no foul play. The 47-year-old had several health issues, and an autopsy is planned to confirm the cause of death. Getty had recently filed for a restraining order against an ex-girlfriend, citing a serious medical condition that made him vulnerable to stress-induced health risks.","Andrew Getty, 47-year-old heir to the Getty oil fortune, has died of apparent natural causes with no signs of foul play, according to Los Angeles police. The grandson of oil tycoon J. Paul Getty had ""several health issues"" and medication was found in his home, though an autopsy will be conducted to determine the exact cause of death. Getty had recently filed for a restraining order against an ex-girlfriend, citing a serious medical condition involving dangerously high blood pressure.","Andrew Getty, heir to the Getty oil fortune, appears to have died of natural causes at age 47, according to preliminary assessments by the Los Angeles Police Department and coroner. While an autopsy is pending, investigators found no foul play and noted Getty had several health issues, including a serious medical condition diagnosed in 2013 that made him vulnerable to dangerous blood pressure spikes. Medication was recovered from his home, and his parents have confirmed his death.",5.23,1.74,1.024,0.2261,0.2381,0.2314
(CNN)Filipinos are being warned to be on guard for flash floods and landslides a,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Tropical storm Maysak, now downgraded from a super typhoon, is approaching the Philippines with winds over 70 mph, prompting warnings of potential flash floods and landslides. Authorities have implemented precautionary measures, including evacuations and restrictions on outdoor activities, as the storm is expected to make landfall on the southeastern coast of Isabela province by Sunday morning. Residents are urged to prepare for significant impacts despite the storm's reduced intensity.","Tropical storm Maysak (called Chedeng locally) is approaching the Philippines after weakening from super typhoon status, with sustained winds over 70 mph and gusts up to 90 mph. Authorities have implemented precautionary measures including evacuations, bans on water activities, and restrictions on tourist arrivals in coastal areas ahead of the expected Sunday morning landfall. Officials warn residents to prepare for significant impacts from flash floods and landslides as the storm moves across the southeastern coast.","Tropical Storm Maysak, previously a super typhoon, is approaching the Philippines, prompting warnings for flash floods and landslides. Although it has weakened, authorities are taking preemptive measures like banning outdoor activities and advising evacuations, with the storm expected to make landfall Sunday morning. Residents are urged to prepare for a significant impact, as the exact extent of the damage remains uncertain.",2.043,1.835,1.671,0.2292,0.1584,0.1839
"(CNN)For the first time in eight years, a TV legend returned to doing what he do","Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker, the legendary host of ""The Price Is Right,"" made a special return to the show for the first time in eight years, delighting contestants and viewers alike. At 91, Barker appeared on the April 1 episode to host the ""Lucky Seven"" game before handing the reins back to current host Drew Carey. Despite his long absence, Barker seamlessly resumed his role, showcasing his enduring charm and expertise.","Bob Barker, the legendary host of ""The Price Is Right"" for 35 years, made a surprise return to the show on April 1 for the first time in eight years at age 91. He hosted the opening segment of the episode before handing over duties to current host Drew Carey, demonstrating he hadn't lost his touch with the classic game show format.","Bob Barker, the legendary host of ""The Price Is Right"" for 35 years, made a special return to the show on April 1. At 91 years old, Barker hosted the first game, ""Lucky Seven,"" before handing over duties to current host Drew Carey. This marked Barker's first appearance on the show in eight years, and he showed no signs of missing a beat.",1.253,1.689,1.065,0.2045,0.2439,0.2651
