text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_correct,anthropic_correct,gemini_correct,openai_latency_s,anthropic_latency_s,gemini_latency_s
Fears for T N pension after talks Unions representing workers at Turner   Newall,Business,Business,Business,Business,1,1,1,2.269,0.806,0.519
The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPAC,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.617,0.614,0.518
Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemis,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.221,0.795,0.641
Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fi,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.578,0.855,0.765
Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-figh,Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,1.139,1.2,0.697
Open Letter Against British Copyright Indoctrination in Schools The British Depa,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.498,0.717,0.727
"Loosing the War on Terrorism \\""Sven Jaschan, self-confessed author of the Netsk",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.592,0.742,0.601
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\FOAF/LOAF  and bloom f",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.229,0.851,0.479
"E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after i",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.65,1.482,0.561
"Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated car",Sci/Tech,Business,Business,Business,0,0,0,0.685,0.719,0.642
Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.94,1.309,0.797
"Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Co",Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.56,0.984,1.119
Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free ,Sci/Tech,Business,Business,Business,0,0,0,0.643,0.625,1.407
Super ant colony hits Australia A giant 100km colony of ants  which has been dis,Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,0.649,1.402,1.007
"Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to",Sci/Tech,Sci/Tech,World,Sci/Tech,1,0,1,0.919,0.922,0.475
Teenage T. rex's monster growth Tyrannosaurus rex achieved its massive size due ,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.874,0.926,0.475
Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientis,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,0.65,0.675,0.737
Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars,Sci/Tech,Sci/Tech,Sci/Tech,Sci/Tech,1,1,1,1.231,0.713,0.717
