article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency,anthropic_latency,gemini_latency,openai_rougeL,anthropic_rougeL,gemini_rougeL
(CNN)The Palestinian Authority officially became the 123rd member of the Interna,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","The Palestinian Authority has officially become the 123rd member of the International Criminal Court (ICC), allowing the court jurisdiction over alleged crimes in Palestinian territories. This accession was marked by a ceremony in The Hague and follows the Palestinians' signing of the Rome Statute in January 2021, which initiated a preliminary examination of potential war crimes investigations. Israel and the United States oppose this membership, asserting that Palestine is not a state, while Palestinian officials see it as a significant step toward justice.","The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories since June 2014. This membership opens the door for possible war crimes investigations against Israelis, though Palestinians may also face counter-charges. Israel and the United States opposed the move, but Palestinian officials and human rights groups welcomed it as a step toward ending impunity and advancing international justice.","The Palestinian Authority officially became the 123rd member of the International Criminal Court (ICC) on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories. This move, opposed by Israel and the United States, paves the way for potential war crimes investigations against Israelis, though Palestinians could also face counter-charges. Palestinian Foreign Minister Riad al-Malki hailed it as a step towards justice, while an ICC vice president emphasized the significant responsibilities that come with membership.",8.528487920761108,1.5691452026367188,1.2995150089263916,0.2735042735042735,0.33333333333333337,0.35714285714285715
(CNN)Never mind cats having nine lives. A stray pooch in Washington State has us,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A stray dog in Washington State, named Theia, survived being hit by a car, attacked with a hammer, and buried in a field, managing to find her way to a farm four days later. She is now receiving veterinary care and requires extensive medical procedures due to her injuries, while her foster caregiver, Sara Mellado, has set up a fundraising campaign that has surpassed $10,000 to cover her treatment costs. Theia's miraculous survival story has garnered community support and raised awareness for other animals in need.","A stray dog in Washington State named Theia survived being hit by a car, struck on the head with a hammer, and buried in a field, only to be discovered four days later by a farm worker. Now in the care of a rescuer named Sara Mellado, the one-year-old bully breed mix is receiving treatment at Washington State University's Veterinary Teaching Hospital for injuries including a dislocated jaw, leg injuries, and a damaged sinus cavity. Supporters have already donated over $10,000 through a fundraising campaign to help cover the cost of her extensive medical procedures needed for recovery.","A stray dog in Washington State, named Theia, miraculously survived being hit by a car, apparently struck with a hammer, and then buried. Four days later, she staggered to a farm and was taken for veterinary care at Washington State University, where she is recovering from severe injuries. Her story has inspired over $10,000 in donations for her medical treatment, with additional funds to be used for other animals in need.",3.0602200031280518,1.8794586658477783,1.553704023361206,0.2900763358778626,0.2896551724137931,0.2956521739130435
"(CNN)If you've been following the news lately, there are certain things you doub","Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .","Mohammad Javad Zarif, Iran's foreign minister, has played a key role in nuclear negotiations with the U.S. and received a warm welcome upon returning to Iran. Although widely recognized for his diplomatic demeanor, lesser-known facts about his background include his education in the U.S. and discrepancies regarding his birthdate; official biographies list him as being born in 1959, 1960, or 1961. Additionally, he faced scrutiny from the U.S. Justice Department over his involvement with the Alavi Foundation.","Mohammad Javad Zarif, Iran's foreign minister who has been instrumental in nuclear negotiations with the U.S. under Secretary of State John Kerry, received a hero's welcome upon returning to Iran. Despite his public image as a polished and jovial diplomat, there are lesser-known facts about Zarif, including his education in the United States during Iran's revolution, conflicting birth dates in official records, and a federal investigation into his alleged role with a charitable foundation.","Mohammad Javad Zarif, Iran's foreign minister, is a key figure in the nuclear discussions with the U.S. and received a hero's welcome upon returning to Iran. While known for his ""polished"" and ""jovial"" demeanor, less known facts include his ""Happy Rosh Hashanah"" tweet and subsequent denial of Iran's Holocaust denial, his education and children being born in the U.S. during the Iranian Revolution, and discrepancies in his official birthdate.",7.910892963409424,2.125951051712036,1.4004032611846924,0.17094017094017094,0.1929824561403509,0.22018348623853212
"(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, ho","17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","Five Americans who were monitored for three weeks at an Omaha hospital after being exposed to Ebola in West Africa have been released, with one remaining in the area due to a heart-related issue. They were healthcare workers for Partners in Health and had contact with a colleague diagnosed with Ebola, who is currently in fair condition at the NIH. The CDC reports that the last of 17 monitored individuals are expected to be released soon, amidst an ongoing Ebola epidemic that has claimed over 10,000 lives in West Africa.","Five Americans who work for a humanitarian aid organization were released from a Nebraska hospital after being monitored for three weeks following potential Ebola exposure in Sierra Leone, with none developing the virus. They had contact with a colleague who was diagnosed with Ebola and is being treated at the National Institutes of Health in fair condition. The releases are part of a broader CDC monitoring effort as the West African Ebola epidemic continues to claim thousands of lives.","Five Americans who were monitored for three weeks in Omaha, Nebraska, after being exposed to Ebola in Sierra Leone have been released. None of the clinicians, who work for Partners in Health, developed the virus, though one had a heart-related issue and remains in the area. They had contact with a colleague who is currently being treated for Ebola and is in fair condition.",7.343212842941284,1.914813756942749,1.574146032333374,0.2388059701492537,0.2975206611570248,0.3177570093457944
(CNN)A Duke student has admitted to hanging a noose made of rope from a tree nea,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","A Duke University student has confessed to hanging a noose from a tree near the student union, prompting the university to take immediate action by removing the student from campus and initiating a conduct review. The incident has sparked an outcry among students and faculty, leading to a march and a forum expressing solidarity against racism. Duke officials are investigating the incident further to determine if others were involved, amidst a backdrop of recent racially charged events at various colleges.","A Duke University student admitted to hanging a noose from a tree near campus and has been removed from the university pending a student conduct review. The incident sparked a large campus gathering where hundreds of students and faculty marched in solidarity, with university officials condemning the act as hateful and cowardly. The noose is part of a pattern of recent racist incidents affecting college campuses across the country.","A Duke University student has admitted to hanging a noose from a tree on campus, prompting an ongoing investigation and student conduct review. The incident, which the university president condemned as unacceptable, led to student and faculty protests and is one of several recent racist events at U.S. colleges. The student is no longer on campus, and officials are determining if others were involved while criminal investigations proceed.",3.2299420833587646,1.8090860843658447,1.3707430362701416,0.18032786885245902,0.2162162162162162,0.19819819819819817
(CNN)He's a blue chip college basketball recruit. She's a high school freshman w,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a standout basketball player from Eastern High School in Louisville, Kentucky, made headlines when he asked high school freshman Ellie Meredith, who has Down syndrome, to be his prom date instead of his girlfriend. The prom-posal, which took place in the gym during P.E. class and included flowers and a poster referencing Ellie’s favorite Taylor Swift album, went viral after being shared on social media. Both families expressed joy at the thoughtful gesture, highlighting how Trey's actions promote inclusivity and support for students with developmental disabilities.","College basketball recruit Trey Moses asked freshman Ellie Meredith, who has Down syndrome, to be his prom date by presenting her with flowers and a Taylor Swift reference poster in her P.E. class. Ellie, who had struggled with friendships, said yes, and her parents were thrilled that she felt included in a social event. Trey's thoughtful gesture has garnered viral attention and highlights the positive impact of Eastern High School's Best Buddies program, which fosters friendships between students with and without developmental disabilities.","High school basketball star Trey Moses asked freshman Ellie Meredith, who has Down syndrome, to be his prom date. Trey, a highly recruited athlete, made the ""prom-posal"" with flowers and a poster, delighting Ellie and her family. This heartwarming gesture has gone viral and highlights the positive impact of programs like Best Buddies, which fosters friendships between students with and without developmental disabilities.",2.4610018730163574,1.9258718490600586,1.4526262283325195,0.1896551724137931,0.14545454545454545,0.2727272727272727
(CNN)Governments around the world are using the threat of terrorism -- real or p,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International's annual report on the death penalty reveals a troubling trend of governments exploiting perceived threats of terrorism to justify executions, despite a global decline in the number of executions by nearly 22% in 2014. The report highlights a sharp increase in death sentences, particularly in countries like Egypt and Nigeria, indicating the use of mass sentencing as a response to internal instability. While some regions show signs of progress towards abolition, the overall reliance on the death penalty remains a serious concern.","Amnesty International's 2014 death penalty report reveals that while global executions decreased by 22% compared to the previous year, governments are increasingly using capital punishment under the guise of fighting terrorism, citing examples like Pakistan's resumption of civilian executions after the Peshawar school attack and China's ""Strike Hard"" campaign in Xinjiang. However, the report also notes a troubling 28% increase in death sentences worldwide, largely due to mass sentencings in countries like Egypt and Nigeria, though most regions showed encouraging reductions in actual executions.","Amnesty International's annual report alleges that governments are increasingly using the threat of terrorism to justify executions, citing examples like Pakistan and China. While the number of executions worldwide decreased by 22% in 2014 (excluding China), the number of people sentenced to death rose by 28%, largely due to mass sentencings in countries like Egypt and Nigeria. Despite these concerns, Amnesty notes a positive long-term trend towards the abolition of the death penalty globally.",3.2141449451446533,2.0063388347625732,1.6510429382324219,0.28776978417266186,0.22695035460992907,0.36923076923076925
"(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have di","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, the 47-year-old grandson of oil baron J. Paul Getty, has reportedly died of natural causes, with initial findings indicating no foul play. The Los Angeles coroner's office noted he had several health issues and that an autopsy will be performed; medication was found at his home, but it is unclear if he was using it. Getty's parents confirmed his death and requested privacy as the family deals with the loss.","Andrew Getty, a 47-year-old heir to the Getty oil fortune, has died of apparent natural causes with no foul play suspected, according to Los Angeles police. The grandson of oil tycoon J. Paul Getty had several health issues and medication was found in his home, though details about his medical history remain unclear pending an autopsy. Getty had recently filed for a restraining order against an ex-girlfriend, citing a serious medical condition diagnosed in 2013 related to dangerous blood pressure spikes.","Andrew Getty, heir to the Getty oil fortune, appears to have died of natural causes at age 47, according to a preliminary assessment by the Los Angeles Police Department. While an autopsy is pending, investigators found no foul play and noted Getty had several health issues, including a serious medical condition diagnosed in 2013 that made him vulnerable to dangerously high blood pressure. Medication was recovered from his home, and his parents have confirmed his death.",3.7779698371887207,2.627417802810669,1.2212538719177246,0.16666666666666666,0.23437500000000003,0.21666666666666667
(CNN)Filipinos are being warned to be on guard for flash floods and landslides a,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Tropical storm Maysak, which recently downgraded from super typhoon status, is approaching the Philippines, prompting warnings of flash floods and landslides. With sustained winds exceeding 70 mph, authorities have implemented safety measures, including barring outdoor activities and evacuating some areas. The storm is expected to make landfall on the southeastern coast of Isabela province on Sunday and exit the Philippines by Monday.","Tropical Storm Maysak (called Chedeng locally) is approaching the Philippines with sustained winds over 70 mph after weakening from super typhoon status. Philippine authorities have implemented precautionary measures including evacuations, bans on water activities, and refusing tourist arrivals in coastal areas ahead of the expected Sunday landfall. The storm is expected to exit the Philippines by Monday, though officials warn residents to prepare for potentially severe impacts.","Tropical Storm Maysak, previously a super typhoon, is approaching the Philippines, prompting warnings for flash floods and landslides. Despite weakening, the storm, locally named Chedeng, still carries strong winds and has led to preemptive evacuations and bans on outdoor activities, with authorities urging residents to prepare for a significant impact upon its expected Sunday morning landfall.",2.746692180633545,1.5752699375152588,1.3283171653747559,0.20454545454545456,0.1935483870967742,0.17073170731707316
"(CNN)For the first time in eight years, a TV legend returned to doing what he do","Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker made a surprise return to ""The Price Is Right"" on April 1, hosting the show for the first time in eight years. At 91 years old, he briefly took charge of a game before passing hosting duties back to Drew Carey. Barker's appearance delighted fans and showcased his continued enthusiasm for the show he led for 35 years.","Bob Barker, the legendary former host of ""The Price Is Right,"" made a surprise return to the show for the first time in eight years on April 1, hosting the opening segment at age 91. Barker, who previously hosted the game show for 35 years before retiring in 2007, seamlessly guided contestants through the ""Lucky Seven"" game before handing over duties to current host Drew Carey. Despite his eight-year absence, Barker demonstrated that he hadn't lost his touch with the classic game show format.","Bob Barker, the former host of ""The Price Is Right,"" returned to the show for an April Fool's Day appearance, his first in eight years. The 91-year-old Barker hosted the first game, ""Lucky Seven,"" before handing duties back to current host Drew Carey. Barker, who hosted for 35 years, showed no signs of rust despite his long absence.",1.294640064239502,3.037038803100586,1.3047277927398682,0.275,0.22857142857142856,0.225
