task,slm,llm_baseline,slm_accuracy,slm_n,llm_accuracy,llm_n,difference,z,p_value,diff_ci_low,diff_ci_high,holm_adjusted_p,significant_after_holm
classification,phi-4-mini-instruct,gpt-4o,0.92,200,0.82,100,0.1,2.5757,0.01,0.022,0.1918,0.07,False
classification,phi-4-mini-instruct,claude-haiku-4-5,0.92,200,0.81,100,0.11,2.7978,0.0051,0.0305,0.2028,0.0408,True
classification,phi-4-mini-instruct,gemini-2.5-flash,0.92,200,0.85,100,0.07,1.8777,0.0604,-0.0032,0.1582,0.2416,False
classification,Mistral-7B-v0.3,gpt-4o,0.69,200,0.82,100,-0.13,-2.4003,0.0164,-0.2221,-0.0246,0.0984,False
classification,Mistral-7B-v0.3,claude-haiku-4-5,0.69,200,0.81,100,-0.12,-2.2069,0.0273,-0.2134,-0.0137,0.1365,False
classification,Mistral-7B-v0.3,gemini-2.5-flash,0.69,200,0.85,100,-0.16,-2.9909,0.0028,-0.2481,-0.0577,0.0252,True
classification,Llama-3.2-3B-Instruct,gpt-4o,0.82,200,0.82,100,0.0,0.0,1.0,-0.0864,0.0986,1.0,False
classification,Llama-3.2-3B-Instruct,claude-haiku-4-5,0.82,200,0.81,100,0.01,0.211,0.8329,-0.0778,0.1096,1.0,False
classification,Llama-3.2-3B-Instruct,gemini-2.5-flash,0.82,200,0.85,100,-0.03,-0.6521,0.5143,-0.1121,0.0653,1.0,False
financial_sentiment,phi-4-mini-instruct,gpt-4o,0.545,200,0.96,100,-0.415,-7.2843,0.0,-0.4884,-0.3257,0.0,True
financial_sentiment,phi-4-mini-instruct,claude-haiku-4-5,0.545,200,0.94,100,-0.395,-6.8951,0.0,-0.4713,-0.3014,0.0,True
financial_sentiment,phi-4-mini-instruct,gemini-2.5-flash,0.545,200,0.97,100,-0.425,-7.4811,0.0,-0.497,-0.3382,0.0,True
financial_sentiment,Mistral-7B-v0.3,gpt-4o,0.845,200,0.96,100,-0.115,-2.9249,0.0034,-0.1766,-0.0421,0.0068,True
financial_sentiment,Mistral-7B-v0.3,claude-haiku-4-5,0.845,200,0.94,100,-0.095,-2.359,0.0183,-0.1601,-0.0169,0.0183,True
financial_sentiment,Mistral-7B-v0.3,gemini-2.5-flash,0.845,200,0.97,100,-0.125,-3.2196,0.0013,-0.185,-0.0552,0.0039,True
financial_sentiment,Llama-3.2-3B-Instruct,gpt-4o,0.76,200,0.96,100,-0.2,-4.314,0.0,-0.2682,-0.1205,0.0,True
financial_sentiment,Llama-3.2-3B-Instruct,claude-haiku-4-5,0.76,200,0.94,100,-0.18,-3.8255,0.0001,-0.2514,-0.0957,0.0004,True
financial_sentiment,Llama-3.2-3B-Instruct,gemini-2.5-flash,0.76,200,0.97,100,-0.21,-4.5647,0.0,-0.2767,-0.1333,0.0,True
