article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rouge1,anthropic_rouge1,gemini_rouge1,openai_rouge2,anthropic_rouge2,gemini_rouge2,openai_rougeL,anthropic_rougeL,gemini_rougeL
(CNN)The Palestinian Authority officially became the 123rd member of the Interna,"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June .
Israel and the United States opposed the move, which could open the door to war crimes investigations against Israelis .","The Palestinian Authority has become the 123rd member of the International Criminal Court (ICC), granting the court jurisdiction over alleged crimes in Palestinian territories since June 2014. This move, marked by a ceremony at The Hague, has been met with opposition from Israel and the United States, who do not recognize Palestine as a state and oppose its ICC membership. However, Palestinian officials and human rights groups view this as a step towards justice and accountability, despite potential counter-charges and political tensions.","# Summary

The Palestinian Authority officially joined the International Criminal Court as its 123rd member on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories since June 2014. The move, opposed by Israel and the United States, opens the door for possible war crimes investigations against Israelis, though Palestinians may also face counter-charges. Palestinian officials hailed the accession as a step toward ending impunity and achieving justice, while human rights groups supported the decision as part of universal acceptance of international law.","The Palestinian Authority officially became the 123rd member of the International Criminal Court (ICC) on Wednesday, granting the court jurisdiction over alleged crimes in Palestinian territories. This move, opposed by Israel and the United States, allows for potential war crimes investigations against Israelis, though Palestinians may also face counter-charges. Palestinian Foreign Minister Riad al-Malki hailed it as a step towards justice, while the ICC emphasized the responsibilities that come with membership.",1.618,1.854,1.11,0.359,0.4407,0.4486,0.1739,0.2931,0.2667,0.2906,0.3898,0.3551
(CNN)Never mind cats having nine lives. A stray pooch in Washington State has us,"Theia, a bully breed mix, was apparently hit by a car, whacked with a hammer and buried in a field .
""She's a true miracle dog and she deserves a good life,"" says Sara Mellado, who is looking for a home for Theia .","A stray dog named Theia in Washington State survived being hit by a car, a failed mercy killing, and being buried alive, later staggering to a nearby farm for help. Despite severe injuries, including a dislocated jaw and sinus damage, Theia is receiving care and has inspired a successful fundraising effort to cover her medical expenses. Her story of resilience has captured the hearts of many, with additional funds raised being used to help other animals in need.","# Summary

A stray dog named Theia in Washington State survived being hit by a car, struck on the head with a hammer, and buried in a field, only to be discovered alive four days later and brought to a veterinary hospital for treatment. Despite suffering a dislocated jaw, leg injuries, and a caved-in sinus cavity, the one-year-old bully breed mix has been taken in by Sara Mellado, who has raised over $10,000 through fundraising to cover Theia's extensive medical procedures needed to help her breathe and eat normally.","A stray dog in Washington State, named Theia, miraculously survived after being hit by a car, apparently struck with a hammer in a misguided mercy killing, and then buried. Four days later, she staggered to a farm, leading to her rescue and care at Washington State University's Veterinary Teaching Hospital. Despite severe injuries, including a dislocated jaw and caved-in sinus, Theia is recovering, with fundraising efforts surpassing her medical costs, and is described as incredibly gentle and loving.",1.304,2.46,1.267,0.314,0.4118,0.3577,0.0504,0.209,0.0992,0.2149,0.2941,0.2439
"(CNN)If you've been following the news lately, there are certain things you doub","Mohammad Javad Zarif has spent more time with John Kerry than any other foreign minister .
He once participated in a takeover of the Iranian Consulate in San Francisco .
The Iranian foreign minister tweets in English .","Iranian Foreign Minister Mohammad Javad Zarif has played a pivotal role in nuclear discussions with the U.S., working alongside Secretary of State John Kerry to potentially lift sanctions against Iran. Known for his diplomatic skills and jovial demeanor, Zarif has also made headlines for his engagement on social media, notably tweeting a ""Happy Rosh Hashanah"" message that sparked a dialogue about Iran's stance on Holocaust denial. Despite some controversies, including a U.S. investigation into his alleged involvement with the Alavi Foundation, Zarif remains a key figure in Iran's efforts to rejoin the international community.","Mohammad Javad Zarif, Iran's foreign minister who has been instrumental in nuclear negotiations with the U.S. under Secretary of State John Kerry, received a hero's welcome upon returning to Iran after helping secure a potential breakthrough deal. While widely portrayed as ""polished"" and ""jovial,"" less-known facts about Zarif include his education in the United States during Iran's revolution, discrepancies in his official birth year, and a federal investigation into his alleged role with the Alavi Foundation. His diplomatic efforts have helped bring Iran back into the international community, though questions remain about his background and the details of the nuclear agreement still being negotiated.","Mohammad Javad Zarif, Iran's foreign minister, is a key figure in nuclear discussions with the U.S. and received a hero's welcome upon returning to Iran. While known for his ""polished"" and ""jovial"" demeanor, less known facts include his ""Happy Rosh Hashanah"" tweet and subsequent denial of Iran's Holocaust denial, his absence from Iran during the 1979 revolution while studying in the U.S., and the conflicting birth dates listed on his own ministry's website. He was also investigated by U.S. authorities regarding his alleged role in controlling the Alavi Foundation.",1.885,2.007,1.32,0.2556,0.2222,0.229,0.0916,0.0704,0.0465,0.1654,0.1528,0.1832
"(CNN)Five Americans who were monitored for three weeks at an Omaha, Nebraska, ho","17 Americans were exposed to the Ebola virus while in Sierra Leone in March .
Another person was diagnosed with the disease and taken to hospital in Maryland .
National Institutes of Health says the patient is in fair condition after weeks of treatment .","Five Americans exposed to Ebola in Sierra Leone have been released from monitoring at a Nebraska hospital after none developed the virus. They were clinicians for Partners in Health and had contact with a colleague diagnosed with Ebola, who is currently in fair condition at the National Institutes of Health. The CDC expects the last of 17 monitored patients to be released soon, as the West African Ebola epidemic has claimed over 10,000 lives since December 2013.","Five Americans who were exposed to Ebola in Sierra Leone while working for a humanitarian organization have been released from a Nebraska hospital after three weeks of monitoring, with none developing the virus. Their colleague who was diagnosed with Ebola is being treated at the National Institutes of Health in Maryland and is in fair condition. The CDC expects to release the last of 17 monitored patients by Thursday as the West African Ebola epidemic continues to claim lives across Guinea, Liberia, and Sierra Leone.","Five Americans exposed to Ebola in Sierra Leone have been released from monitoring at an Omaha hospital after three weeks, none developing the virus. One individual had a heart issue but has also been discharged, while the others have returned home. They were clinicians for Partners in Health and had contact with a colleague currently being treated for Ebola at the National Institutes of Health.",1.432,1.516,0.914,0.5,0.5354,0.4299,0.1525,0.224,0.1143,0.2833,0.3307,0.2617
(CNN)A Duke student has admitted to hanging a noose made of rope from a tree nea,"Student is no longer on Duke University campus and will face disciplinary review .
School officials identified student during investigation and the person admitted to hanging the noose, Duke says .
The noose, made of rope, was discovered on campus about 2 a.m.","A Duke University student admitted to hanging a noose from a tree near a student union, prompting a student conduct review and ongoing criminal investigations. The incident sparked protests and a forum where Duke President Richard Brodhead condemned the act, emphasizing it does not reflect the university's values. This event is part of a series of recent racist incidents on college campuses, including similar occurrences at the University of Oklahoma and the University of Mississippi.","A Duke University student admitted to hanging a noose from a tree near campus and has been removed from the university pending a student conduct review. The incident sparked a large campus gathering where hundreds of students and faculty members marched in solidarity, with university President Richard Brodhead condemning the ""cowardly act"" as unacceptable. Criminal investigations are ongoing as officials determine whether others were involved in the racist incident.","A Duke University student has admitted to hanging a noose from a tree on campus and is no longer on campus, facing student conduct review. The incident, which is also under criminal investigation, sparked protests and a forum where university officials condemned the act. This event is one of several recent racist incidents at colleges across the United States.",1.716,1.522,0.935,0.339,0.3604,0.5149,0.069,0.0734,0.1616,0.1864,0.1622,0.2376
(CNN)He's a blue chip college basketball recruit. She's a high school freshman w,"College-bound basketball star asks girl with Down syndrome to high school prom .
Pictures of the two during the ""prom-posal"" have gone viral .","Trey Moses, a star basketball player from Eastern High School in Louisville, Kentucky, invited Ellie Meredith, a freshman with Down syndrome, to prom, highlighting his compassionate nature. The prom-posal, which took place during Ellie's P.E. class, went viral after being shared on social media, and was supported by Ellie's parents and Trey's future coach. This gesture not only brought joy to Ellie, who has faced challenges with friendships, but also raised awareness for the Best Buddies program that fosters friendships between students with and without developmental disabilities.","# Summary

College basketball recruit Trey Moses asked high school freshman Ellie Meredith, who has Down syndrome, to prom at Eastern High School in Louisville, Kentucky, surprising her with flowers and a Taylor Swift reference poster. The gesture went viral on social media and was praised by Ellie's parents, who noted that the school's Best Buddies program has helped their daughter build friendships and feel included. Trey, who plans to major in special education while playing college basketball at Ball State, said he chose Ellie because ""she's great... she listens and she's easy to talk to.""","High school basketball star Trey Moses asked freshman Ellie Meredith, who has Down syndrome, to be his prom date, creating a viral moment. Trey, known for his kindness and involvement with special needs students, surprised Ellie with flowers and a poster during her P.E. class. This heartwarming gesture has brought joy to Ellie and her family, highlighting the positive impact of inclusive programs like Best Buddies.",1.689,1.928,1.261,0.2586,0.2114,0.3077,0.1053,0.0496,0.0899,0.1724,0.1626,0.1978
(CNN)Governments around the world are using the threat of terrorism -- real or p,"Amnesty's annual death penalty report catalogs encouraging signs, but setbacks in numbers of those sentenced to death .
Organization claims that governments around the world are using the threat of terrorism to advance executions .
The number of executions worldwide has gone down by almost 22% compared with 2013, but death sentences up by 28% .","Amnesty International's annual report on the death penalty highlights a troubling trend of governments using executions to address perceived threats to state security, particularly under the guise of combating terrorism. Despite a global decrease in executions by 22% from the previous year, the report notes a significant 28% increase in death sentences, largely due to mass sentencing in countries like Egypt and Nigeria. While some regions show positive trends towards abolition, the use of the death penalty remains a contentious issue, with countries like China and Pakistan continuing executions under anti-terrorism campaigns.","# Summary

Amnesty International's 2014 death penalty report reveals that while global executions decreased by 22% to 607 cases, governments are increasingly using the death penalty as a tool against terrorism and political instability, with countries like Pakistan and China cited as examples. However, the report also notes a concerning 28% increase in death sentences handed down, largely due to mass sentencing in countries like Egypt and Nigeria, though most regions showed reductions in actual executions.","Amnesty International's annual report alleges that governments worldwide are increasingly using the threat of terrorism to justify executions, citing examples like Pakistan and China. While the number of global executions decreased by 22% in 2014 (excluding China), there was a 28% increase in death sentences, largely due to mass sentencing in countries like Egypt and Nigeria. Despite these concerns, Amnesty notes a positive long-term trend towards abolition, with most regions showing a reduction in executions.",2.668,2.174,1.001,0.3919,0.4,0.4275,0.0411,0.0625,0.155,0.2297,0.2154,0.3359
"(CNN)Andrew Getty, one of the heirs to billions of oil money, appears to have di","Andrew Getty's death appears to be from natural causes, police say, citing coroner's early assessment .
In a petition for a restraining order, Getty had written he had a serious medical condition.
Police say this is not a criminal matter at this time .","Andrew Getty, heir to the Getty oil fortune, was found dead at his Los Angeles home, with preliminary assessments indicating natural causes and no foul play. The 47-year-old had several health issues, and an autopsy is planned to confirm the cause of death. Getty had recently filed for a restraining order against an ex-girlfriend, citing a serious medical condition that made him vulnerable to stress-induced health risks.","Andrew Getty, a 47-year-old heir to the Getty oil fortune and grandson of oil tycoon J. Paul Getty, has died of apparent natural causes with no signs of foul play, according to Los Angeles police. Getty had ""several health issues"" and medication was found in his home, though investigators are still determining details of his medical history. An autopsy will be conducted to confirm the cause of death.","Andrew Getty, heir to the Getty oil fortune, appears to have died of natural causes at age 47, according to preliminary assessments by the Los Angeles Police Department and coroner. While an autopsy is pending, investigators found no foul play and noted Getty had several health issues, including a serious medical condition diagnosed in 2013 that made him vulnerable to dangerous blood pressure spikes. Medication was recovered from his home, and his parents have confirmed his death.",1.305,1.314,1.037,0.3652,0.2281,0.3306,0.1593,0.0536,0.1176,0.2261,0.1579,0.2314
(CNN)Filipinos are being warned to be on guard for flash floods and landslides a,"Once a super typhoon, Maysak is now a tropical storm with 70 mph winds .
It could still cause flooding, landslides and other problems in the Philippines .","Tropical storm Maysak, now downgraded from a super typhoon, is approaching the Philippines with winds over 70 mph, prompting warnings of potential flash floods and landslides. Authorities have implemented precautionary measures, including evacuations and restrictions on outdoor activities, as the storm is expected to make landfall on the southeastern coast of Isabela province by Sunday morning. Residents are urged to prepare for significant impacts despite the storm's reduced intensity.","Tropical storm Maysak (called Chedeng in the Philippines) is approaching the Philippines with sustained winds over 70 mph after weakening from super typhoon status. Authorities have implemented precautionary measures including evacuations, bans on outdoor water activities, and restrictions on tourist arrivals in coastal areas ahead of the expected Sunday morning landfall. The storm is forecast to cross the southeastern coast of Isabela province and exit the country by Monday.","Tropical Storm Maysak, previously a super typhoon, is approaching the Philippines, prompting warnings for flash floods and landslides. Although it has weakened, authorities are taking preemptive measures like banning outdoor activities and advising evacuations, with the storm expected to make landfall Sunday morning. Residents are urged to prepare for a significant impact, as the exact extent of the damage remains uncertain.",1.355,1.571,0.874,0.3542,0.2947,0.3448,0.1064,0.1075,0.0941,0.2292,0.1684,0.1839
"(CNN)For the first time in eight years, a TV legend returned to doing what he do","Bob Barker returned to host ""The Price Is Right"" on Wednesday .
Barker, 91, had retired as host in 2007 .","Bob Barker made a special return to ""The Price Is Right"" on April 1, taking over hosting duties for the first price-guessing game, ""Lucky Seven,"" before handing the show back to current host Drew Carey. At 91, Barker appeared energetic and seamlessly resumed his role, despite having retired from the show in 2007 after 35 years as host.","Bob Barker, the legendary host of ""The Price Is Right"" for 35 years, made a surprise return to the show for the first time in eight years on April 1, hosting the opening segment before handing over duties to current host Drew Carey. The 91-year-old Barker appeared energetic and seamlessly guided contestants through the ""Lucky Seven"" game, demonstrating he hadn't lost his touch despite his long absence from the program.","Bob Barker, the legendary host of ""The Price Is Right"" for 35 years, made a special return to the show on April 1st. At 91 years old, Barker hosted the first game, ""Lucky Seven,"" before handing over duties to current host Drew Carey. This marked Barker's first appearance on the show in eight years, and he reportedly didn't miss a beat.",1.157,1.651,1.3,0.4359,0.3043,0.3415,0.2105,0.1333,0.15,0.3333,0.1957,0.2683
