text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_precision,anthropic_precision,gemini_precision,openai_recall,anthropic_recall,gemini_recall,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .","{'PER': ['CHINA'], 'LOC': ['JAPAN']}","```json
{""LOC"": [""Japan"", ""China""], ""MISC"": [""SOCCER""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""],
  ""MISC"": [""SOCCER""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""JAPAN"", ""CHINA""],
  ""MISC"": []
}
```",1,1,1,0.6667,0.6667,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.418,0.903,1.002
Nadim Ladki,{'PER': ['Nadim Ladki']},"{""PER"": [""Nadim Ladki""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [""Nadim Ladki""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Nadim Ladki""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.816,1.504,0.602
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.761,0.803,0.532
Japan began the defence of their Asian Cup title with a lucky 2-1 win against Sy,"{'LOC': ['Japan', 'Syria'], 'MISC': ['Asian Cup']}","```json
{
    ""LOC"": [""Japan"", ""Syria""],
    ""MISC"": [""Asian Cup"", ""Group C""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": [""Asian Cup"", ""Group C""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria"", ""Asia""],
  ""MISC"": [""Asian Cup"", ""Group C""]
}
```",1,1,1,0.75,0.75,0.6,1.0,1.0,1.0,0.8571,0.8571,0.75,0.818,0.801,0.641
"But China saw their luck desert them in the second match of the group , crashing","{'LOC': ['China', 'Uzbekistan']}","```json
{""LOC"": [""China"", ""Uzbekistan""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.542,0.983,0.671
China controlled most of the match and saw several chances missed until the 78th,"{'PER': ['Igor Shkvyrin'], 'LOC': ['China'], 'MISC': ['Uzbek', 'Chinese']}","```json
{
    ""LOC"": [""China""],
    ""MISC"": [""Uzbek""],
    ""PER"": [""Igor Shkvyrin""]
}
```","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Igor Shkvyrin""],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbek""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.75,0.75,0.75,0.8571,0.8571,0.8571,0.922,1.379,0.92
"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left",{'PER': ['Oleg Shatskiku']},"```json
{""PER"": [""Oleg Shatskiku""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Oleg Shatskiku""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819,1.231,0.714
The former Soviet republic was playing in an Asian Cup finals tie for the first ,"{'MISC': ['Soviet', 'Asian Cup']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Asian Cup""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Soviet"", ""Asian""],
  ""MISC"": [""Asian Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Soviet republic"", ""Asian Cup""]
}
```",1,1,1,1.0,0.6667,0.5,0.5,1.0,0.5,0.6667,0.8,0.5,1.089,0.755,0.612
"Despite winning the Asian Games title two years ago , Uzbekistan are in the fina","{'LOC': ['Uzbekistan'], 'MISC': ['Asian Games']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Uzbekistan""], ""MISC"": [""Asian Games""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan"", ""Asian""],
  ""MISC"": [""Asian Games""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Games"", ""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.687,0.852,0.612
Two goals from defensive errors in the last six minutes allowed Japan to come fr,"{'LOC': ['Japan', 'Syria']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.991,0.715
